housedust NR,0.014084507,0.014084507,0.366197183,0,0.225352113,0,0.38028169
housedust LR,0.020547945,0.006849315,0.287671233,0.109589041,0.280821918,0.034246575,0.260273973
housedust MR,0.018461538,0.046153846,0.233846154,0.073846154,0.329230769,0.043076923,0.255384615
housedust HR,0.012578616,0.06918239,0.157232704,0,0.408805031,0.06918239,0.283018868
cottondust LR,0.009708738,0.019417476,0.32038835,0.116504854,0.257281553,0.04368932,0.233009709
cottondust MR,0.024096386,0.039156627,0.201807229,0.048192771,0.358433735,0.039156627,0.289156627
cottondust NR,0.014705882,0.029411765,0.382352941,0,0.264705882,0,0.308823529
cottondust HR,0.010526316,0.094736842,0.105263158,0,0.410526316,0.084210526,0.294736842
aspergilus NR,0.023640662,0.042553191,0.269503546,0.01891253,0.326241135,0.052009456,0.26713948
aspergilus LR,0.006666667,0.026666667,0.2,0.106666667,0.36,0.013333333,0.286666667
aspergilus MR,0.009174312,0.055045872,0.19266055,0.146788991,0.28440367,0.027522936,0.28440367
aspergilus HR,0,0,0.210526316,0,0.315789474,0.157894737,0.315789474
pollen LR,0.005681818,0.034090909,0.301136364,0.045454545,0.329545455,0.034090909,0.25
pollen MR,0.017142857,0.048571429,0.222857143,0.068571429,0.32,0.057142857,0.265714286
pollen NR,0.05,0.04,0.29,0.08,0.28,0,0.26
pollen HR,0,0.013333333,0.12,0,0.413333333,0.053333333,0.4
parthenium NR,0.010869565,0.032608696,0.239130435,0.086956522,0.27173913,0.065217391,0.293478261
parthenium LR,0.022222222,0.011111111,0.344444444,0.044444444,0.294444444,0.022222222,0.261111111
parthenium MR,0.013888889,0.063888889,0.213888889,0.066666667,0.336111111,0.038888889,0.266666667
parthenium HR,0.028985507,0,0.115942029,0,0.434782609,0.086956522,0.333333333
cockroach LR,0.012121212,0.012121212,0.284848485,0.048484848,0.327272727,0.018181818,0.296969697
cockroach MR,0.020134228,0.043624161,0.238255034,0.026845638,0.32885906,0.060402685,0.281879195
cockroach NR,0.021052632,0.073684211,0.326315789,0,0.284210526,0.021052632,0.273684211
cockroach HR,0.013986014,0.041958042,0.13986014,0.167832168,0.34965035,0.048951049,0.237762238
catdander NR,0,0,0.5,0,0.5,0,0
catdander LR,0,0,0,0,0.25,0,0.75
catdander KR,0.017316017,0.04040404,0.240981241,0.057720058,0.326118326,0.043290043,0.274170274
dosfur LR,0,0,0.444444444,0,0.222222222,0.222222222,0.111111111
dosfur MR,0,0,0,0,0,0,1
dosfur NR,0.071428571,0,0.357142857,0,0.357142857,0,0.214285714
dosfur KR,0.016248154,0.041358936,0.23633678,0.059084195,0.327917282,0.041358936,0.277695716
roaddust KR,0.017118402,0.039942939,0.241084165,0.057061341,0.326676177,0.042796006,0.27532097
oldpdust NR,0,0,0.5,0,0.25,0,0.25
oldpdust LR,0,0,0.5,0,0,0,0.5
oldpdust KR,0.017266187,0.04028777,0.238848921,0.057553957,0.328057554,0.043165468,0.274820144
PSdust NR,0,0,0,0,1,0,0
PSdust LR,0,0,0,0,0,0,1
PSdust MR,0,0,0,0,1,0,0
PSdust KR,0.017241379,0.040229885,0.242816092,0.057471264,0.326149425,0.043103448,0.272988506
MilkP HR,0,0,0,0,0,0,1
MilkP KR,0,0.090909091,0.212121212,0,0.333333333,0,0.363636364
MilkP NR,0.02020202,0.035353535,0.240740741,0.053872054,0.326599327,0.048821549,0.274410774
MilkP MR,0,0,0,0,0.4,0,0.6
MilkP LR,0,0.059701493,0.28358209,0.119402985,0.328358209,0.014925373,0.194029851
MilkC NR,0,0,0.2,0,0.333333333,0,0.466666667
MilkC LR,0,0.3,0,0,0.2,0,0.5
MilkC MR,0,0,1,0,0,0,0
MilkC KR,0.017777778,0.037037037,0.244444444,0.059259259,0.328888889,0.044444444,0.268148148
curd LR,0.059701493,0,0.253731343,0.119402985,0.28358209,0.059701493,0.223880597
curd MR,0,0.5,0,0,0,0,0.5
curd NR,0.019230769,0.048076923,0.221153846,0,0.302884615,0.028846154,0.379807692
curd KR,0.009433962,0.04009434,0.25,0.075471698,0.346698113,0.047169811,0.231132075
coffee LR,0,0,0.244897959,0.163265306,0.224489796,0.081632653,0.285714286
coffee MR,0,0.333333333,0,0,0.333333333,0,0.333333333
coffee NR,0.025210084,0.058823529,0.168067227,0.067226891,0.369747899,0.042016807,0.268907563
coffee KR,0.016981132,0.037735849,0.258490566,0.045283019,0.326415094,0.039622642,0.275471698
tea LR,0.02189781,0.03649635,0.226277372,0.058394161,0.255474453,0.051094891,0.350364964
tea MR,0,0.133333333,0.066666667,0,0.066666667,0.333333333,0.4
tea NR,0.030612245,0.030612245,0.275510204,0.081632653,0.285714286,0.010204082,0.285714286
tea KR,0.008498584,0.042492918,0.235127479,0.045325779,0.388101983,0.045325779,0.235127479
beef NR,0.013888889,0.069444444,0.291666667,0.111111111,0.194444444,0.069444444,0.25
beef LR,0,0,0.384615385,0,0.307692308,0.153846154,0.153846154
beef MR,0,0,0,0,0.666666667,0,0.333333333
beef KR,0.017944535,0.037520392,0.233278956,0.052202284,0.340946166,0.037520392,0.280587276
chicken NR,0.021126761,0.042253521,0.225352113,0.056338028,0.342723005,0.042253521,0.269953052
chicken LR,0,0.057142857,0.180952381,0.152380952,0.228571429,0.066666667,0.314285714
chicken MR,0,0,0.2,0,0.6,0,0.2
chicken KR,0.018181818,0.024242424,0.321212121,0,0.339393939,0.03030303,0.266666667
mutton HR,0,0,0,0,0,0,1
mutton KR,0.00982801,0.044226044,0.28009828,0.01965602,0.329238329,0.031941032,0.285012285
mutton NR,0.029166667,0.0375,0.195833333,0.1,0.325,0.0625,0.25
mutton MR,0,0,0.2,0,0.4,0,0.4
